User Activities
""
"Object Type,File Name,Object Name,Description,User Name,Activity,Status,Timestamp,Previous Value,Current Value"
""
"""Activity Log"","""",""AUDIT"",""Downloaded Activities logs (1/1622)"",""D6D968499DDD454C8089C2B471345E29"",""Read"",""Success"",""2024.08.20 08:47:53"","""","""""
"""Activity Log"","""",""AUDIT"",""Downloaded Activities logs (1/1622)"",""D6D968499DDD454C8089C2B471345E29"",""Read"",""Success"",""2024.08.20 08:43:47"","""","""""
"""Activity Log"","""",""AUDIT"",""Downloaded Activities logs (1/811)"",""D6D968499DDD454C8089C2B471345E29"",""Read"",""Success"",""2024.08.20 08:19:04"","""","""""
"""Activity Log"","""",""AUDIT"",""Downloaded Activities logs (1/1622)"",""D6D968499DDD454C8089C2B471345E29"",""Read"",""Success"",""2024.08.20 08:18:43"","""","""""
"""Activity Log"","""",""AUDIT"",""Downloaded Activities logs (1/1622)"",""D6D968499DDD454C8089C2B471345E29"",""Read"",""Success"",""2024.08.20 08:18:09"","""","""""
"""Activity Log"","""",""AUDIT"",""Downloaded Activities logs (1/1622)"",""D6D968499DDD454C8089C2B471345E29"",""Read"",""Success"",""2024.08.20 08:17:52"","""","""""
"""Activity Log"","""",""AUDIT"",""Downloaded Activities logs (1/1622)"",""D6D968499DDD454C8089C2B471345E29"",""Read"",""Success"",""2024.08.20 08:17:27"","""","""""
"""Activity Log"","""",""AUDIT"",""Downloaded Activities logs (1/1622)"",""D6D968499DDD454C8089C2B471345E29"",""Read"",""Success"",""2024.08.20 08:15:48"","""","""""
"""Activity Log"","""",""AUDIT"",""Downloaded Activities logs (1/811)"",""D6D968499DDD454C8089C2B471345E29"",""Read"",""Success"",""2024.08.20 08:15:26"","""","""""
"""Activity Log"","""",""AUDIT"",""Downloaded Activities logs (1/811)"",""D6D968499DDD454C8089C2B471345E29"",""Read"",""Success"",""2024.08.20 08:13:32"","""","""""
"""Activity Log"","""",""AUDIT"",""Downloaded Activities logs (1/811)"",""D6D968499DDD454C8089C2B471345E29"",""Read"",""Success"",""2024.08.20 08:13:20"","""","""""
"""Activity Log"","""",""AUDIT"",""Downloaded Activities logs (1/811)"",""D6D968499DDD454C8089C2B471345E29"",""Read"",""Success"",""2024.08.20 08:12:39"","""","""""
