User Activities
""
"Object Type,File Name,Object Name,Description,User Name,Activity,Status,Timestamp,Previous Value,Current Value"
""
"""System Information"","""",""sap.fpa.services.core.system::WebFonts"","""",""THOMASGEIER"",""Read"",""Success"",""2024.08.22 06:56:07"","""","""""
"""User"","""",""THOMASGEIER"","""",""THOMASGEIER"",""Login"",""Success"",""2024.08.22 06:56:06"","""","""""
"""Story"",""test_variabile"",""FBA02704EEF1E5A26F89408D56E7AB07"",""Sistema di analisi della contabilit� Consumi - Definitive version"",""WBERTOLDI"",""Update"",""Success"",""2024.08.22 06:49:01"","""","""""
"""Model"",""CVC_STAR_FI_CONS_KBL_TEST_VARIABILE"",""Chdo2e17eums36qcr5rnnpb00m"","""",""WBERTOLDI"",""Read"",""Success"",""2024.08.22 06:47:25"","""","""""
"""Story"",""test_variabile"",""FBA02704EEF1E5A26F89408D56E7AB07"",""Sistema di analisi della contabilit� Consumi - Definitive version"",""WBERTOLDI"",""Read"",""Success"",""2024.08.22 06:47:23"","""","""""
"""Model"",""CVC_STAR_FI_CONS_KBL_TEST_VARIABILE"",""Chdo2e17eums36qcr5rnnpb00m"","""",""WBERTOLDI"",""Read"",""Success"",""2024.08.22 06:45:40"","""","""""
"""Model"",""CVC_STAR_FI_CONS_KBL_TEST_VARIABILE"",""Chdo2e17eums36qcr5rnnpb00m"","""",""WBERTOLDI"",""Read"",""Success"",""2024.08.22 06:45:40"","""","""""
"""Model"",""CVD_FI_CHKCONF_XSA"",""Cj6o2h19ujahagba3bodu78t130"",""Modello configurazione delle checklist"",""WBERTOLDI"",""Read"",""Success"",""2024.08.22 06:43:51"","""","""""
"""Model"",""CVC_FI_ANNI_ESERCIZIO_XSA"",""C66s2h19uj87pt22mihhaicvvk"",""Modello dedicato per il recupero dei soli anni d'esercizio"",""WBERTOLDI"",""Read"",""Success"",""2024.08.22 06:43:51"","""","""""
"""Model"",""CVC_STAR_FI_BUDGET_XSA"",""Cl5s2119uja32nkicogq29ktc76"",""Modello dati per dettaglio stanziamento"",""WBERTOLDI"",""Read"",""Success"",""2024.08.22 06:43:45"","""","""""
